Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
55936.0,IL,Winnebago,GT3,Natural Gas Fired Combustion Turbine,GT,168.0,OP,2002.0, ,NG,Gas
55938.0,NJ,Ocean,OPP3,Natural Gas Fired Combustion Turbine,GT,191.5,OP,2003.0, ,NG,Gas
55938.0,NJ,Ocean,OPP4,Natural Gas Fired Combustion Turbine,GT,191.5,OP,2003.0, ,NG,Gas
55939.0,VA,Warren,CT01,Natural Gas Fired Combined Cycle,CT,297.5,OP,2014.0, ,NG,Gas
55939.0,VA,Warren,CT02,Natural Gas Fired Combined Cycle,CT,297.5,OP,2014.0, ,NG,Gas
55939.0,VA,Warren,CT03,Natural Gas Fired Combined Cycle,CT,297.5,OP,2014.0, ,NG,Gas
55939.0,VA,Warren,ST01,Natural Gas Fired Combined Cycle,CA,579.7,OP,2014.0, ,NG,Gas
55951.0,CA,San Bernardino,AMP1,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2003.0, ,NG,Gas
55963.0,CA,Contra Costa,CTG1,Natural Gas Fired Combustion Turbine,GT,47.0,OP,2003.0, ,NG,Gas
55965.0,GA,Heard,CT6A,Natural Gas Fired Combined Cycle,CT,203.1,OP,2002.0, ,NG,Gas
55965.0,GA,Heard,CT6B,Natural Gas Fired Combined Cycle,CT,203.1,OP,2002.0, ,NG,Gas
55965.0,GA,Heard,CT7A,Natural Gas Fired Combined Cycle,CT,203.1,OP,2002.0, ,NG,Gas
55965.0,GA,Heard,CT7B,Natural Gas Fired Combined Cycle,CT,203.1,OP,2002.0, ,NG,Gas
55965.0,GA,Heard,ST6,Natural Gas Fired Combined Cycle,CA,213.3,OP,2002.0, ,NG,Gas
55965.0,GA,Heard,ST7,Natural Gas Fired Combined Cycle,CA,213.3,OP,2002.0, ,NG,Gas
55969.0,NY,SUFFOLK,U-01,Petroleum Liquids,GT,54.0,OP,2003.0, ,KER,Oil
55970.0,CA,Sacramento,1,Natural Gas Fired Combined Cycle,CA,190.0,OP,2006.0, ,NG,Gas
55970.0,CA,Sacramento,2,Natural Gas Fired Combined Cycle,CT,196.8,OP,2006.0, ,NG,Gas
55970.0,CA,Sacramento,3,Natural Gas Fired Combined Cycle,CT,170.0,OP,2006.0, ,NG,Gas
55972.0,NE,Cass,CT-1,Natural Gas Fired Combustion Turbine,GT,172.5,OP,2003.0, ,NG,Gas
55972.0,NE,Cass,CT-2,Natural Gas Fired Combustion Turbine,GT,172.5,OP,2003.0, ,NG,Gas
55976.0,PA,Adams,101,Natural Gas Fired Combined Cycle,CT,179.0,OP,2003.0, ,NG,Gas
55976.0,PA,Adams,201,Natural Gas Fired Combined Cycle,CT,179.0,OP,2003.0, ,NG,Gas
55976.0,PA,Adams,301,Natural Gas Fired Combined Cycle,CT,179.0,OP,2003.0, ,NG,Gas
55976.0,PA,Adams,401,Natural Gas Fired Combined Cycle,CA,361.0,OP,2003.0, ,NG,Gas
55977.0,NM,San Juan,CTG1,Natural Gas Fired Combined Cycle,CT,40.0,OP,2005.0, ,NG,Gas
55977.0,NM,San Juan,STG1,Natural Gas Fired Combined Cycle,CA,27.0,OP,2005.0, ,NG,Gas
55985.0,CA,San Diego,CTG1,Natural Gas Fired Combined Cycle,CT,165.0,OP,2005.0, ,NG,Gas
55985.0,CA,San Diego,CTG2,Natural Gas Fired Combined Cycle,CT,165.0,OP,2005.0, ,NG,Gas
55985.0,CA,San Diego,STG,Natural Gas Fired Combined Cycle,CA,229.0,OP,2006.0, ,NG,Gas
56013.0,IA,Audubon,U1,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2004.0, ,NG,Gas
56013.0,IA,Audubon,U2,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2004.0, ,NG,Gas
56013.0,IA,Audubon,U3,Natural Gas Fired Combustion Turbine,GT,60.5,OP,2007.0, ,NG,Gas
56018.0,AL,Talladega,1,Natural Gas Fired Combustion Turbine,GT,49.3,OP,2004.0, ,NG,Gas
56018.0,AL,Talladega,2,Natural Gas Fired Combustion Turbine,GT,49.3,OP,2004.0, ,NG,Gas
56026.0,CA,Santa Clara,CTG1,Natural Gas Fired Combined Cycle,CT,50.0,OP,2005.0, ,NG,Gas
56026.0,CA,Santa Clara,CTG2,Natural Gas Fired Combined Cycle,CT,50.0,OP,2005.0, ,NG,Gas
56026.0,CA,Santa Clara,STG,Natural Gas Fired Combined Cycle,CA,54.0,OP,2005.0, ,NG,Gas
56031.0,WI,Outagamie,CTG1,Natural Gas Fired Combined Cycle,CT,198.9,OP,2006.0, ,NG,Gas
56031.0,WI,Outagamie,CTG2,Natural Gas Fired Combined Cycle,CT,198.9,OP,2005.0, ,NG,Gas
56031.0,WI,Outagamie,STG,Natural Gas Fired Combined Cycle,CA,221.0,OP,2005.0, ,NG,Gas
56032.0,NY,Nassau,0001,Natural Gas Fired Combustion Turbine,GT,60.0,OP,2004.0, ,NG,Gas
56032.0,NY,Nassau,001,Natural Gas Fired Combustion Turbine,GT,60.0,OP,2004.0, ,NG,Gas
