Facility ID,Latitude,Longitude,wind_cf,pvout
6004,39.366667,-81.294444,0.25088465,1336.45
6009,34.4228,-92.1406,0.25288048,1518.344
6017,38.9361,-88.2781,0.4136327,1442.738
6018,38.9036,-84.8514,0.24076839,1405.847
6021,40.4627,-107.5912,0.1445371,1645.816
6030,47.377743,-101.157058,0.44332907,1489.49
6034,42.7756,-82.495,0.38702556,1342.294
6035,43.1056,-82.6964,0.42229772,1359.826
6041,38.7,-83.8181,0.23523347,1379.914
6042,27.6058,-82.3456,0.2678351,1638.146
6043,27.0536,-80.5628,0.21766438,1611.848
6046,28.903863,-81.332329,0.14912735,1593.951
6055,30.7261,-91.3692,0.2941436,1546.834
6058,44.0322,-92.4908,0.35496593,1433.241
6061,31.2186,-89.394,0.17765449,1547.199
6064,39.1681,-94.6975,0.2954559,1513.231
6065,39.4472,-94.98,0.35178614,1505.926
6068,39.286453,-96.117231,0.5123059,1559.618
6071,38.5847,-85.4117,0.24006368,1408.769
6073,30.5322,-88.5553,0.17899129,1558.887
6076,45.8831,-106.614,0.35056388,1521.266
6077,41.0808,-101.1408,0.4654509,1633.398
6085,41.2164,-87.0261,0.3896832,1387.585
6090,45.3808,-93.8931,0.42249885,1425.571
6095,36.45307,-97.05279,0.4970374,1590.299
6096,40.6214,-95.7764,0.3974436,1499.351
6098,45.303652,-96.510067,0.44232392,1473.784
