facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
7903,Plant 7903,MO,37.248431,-93.170839,93575.22,Gas,NGCC,-458.37886258337625,10.2932742,0.9357522,0.9357522,1.8715044,0.9357522,34622.8314,Gas to NGCC,50.0,5.0,400.0,20.0
7909,Plant 7909,NY,40.7537,-73.9508,128494.25,Gas,NGCC,-240.01636446021647,14.1343675,1.2849425,1.2849425,2.569885,1.2849425,47542.8725,Gas to NGCC,50.0,5.0,400.0,20.0
7910,Plant 7910,NY,40.6631,-74.0,58593.18,Gas,NGCC,-800.9692308765452,6.4452498,0.5859318,0.5859318,1.1718636,0.5859318,21679.476599999998,Gas to NGCC,50.0,5.0,400.0,20.0
7912,Plant 7912,NY,40.787062,-73.293412,38967.29,Gas,NGCC,-177.16179286912245,4.2864019,0.38967290000000004,0.38967290000000004,0.7793458000000001,0.38967290000000004,14417.8973,Gas to NGCC,50.0,5.0,400.0,20.0
7913,Plant 7913,NY,40.799,-73.9094,108070.81,Gas,NGCC,-310.93829559667563,11.8877891,1.0807081,1.0807081,2.1614162,1.0807081,39986.1997,Gas to NGCC,50.0,5.0,400.0,20.0
7914,Plant 7914,NY,40.7991,-73.9156,100567.97,Gas,NGCC,-396.2886853406188,11.062476700000001,1.0056797000000002,1.0056797000000002,2.0113594000000004,1.0056797000000002,37210.1489,Gas to NGCC,50.0,5.0,400.0,20.0
7915,Plant 7915,NY,40.7171,-73.9664,34991.52,Gas,NGCC,-221.4042822914657,3.8490672,0.3499152,0.3499152,0.6998304,0.3499152,12946.862399999998,Gas to NGCC,50.0,5.0,400.0,20.0
7917,Plant 7917,GA,33.4072,-85.0386,3611215.64,Gas,NGCC,-244.91663666644695,397.23372040000004,36.1121564,36.1121564,72.2243128,36.1121564,1336149.7868000001,Gas to NGCC,50.0,5.0,400.0,20.0
7928,Plant 7928,KS,38.532161,-94.902633,44044.71,Gas,NGCC,-587.558292805151,4.8449181,0.44044710000000004,0.44044710000000004,0.8808942000000001,0.44044710000000004,16296.5427,Gas to NGCC,50.0,5.0,400.0,20.0
7946,Plant 7946,GA,33.4083,-85.0403,1998559.85,Gas,NGCC,-257.15821211157447,219.8415835,19.985598500000002,19.985598500000002,39.971197000000004,19.985598500000002,739467.1445,Gas to NGCC,50.0,5.0,400.0,20.0
7953,Plant 7953,ID,43.179176,-115.734315,571332.77,Gas,NGCC,-441.41773768090496,62.84660470000001,5.713327700000001,5.713327700000001,11.426655400000001,5.713327700000001,211393.1249,Gas to NGCC,50.0,5.0,400.0,20.0
7967,Plant 7967,NM,32.35051,-108.69799,112278.6,Gas,NGCC,-276.37164097200304,12.350646000000001,1.122786,1.122786,2.245572,1.122786,41543.082,Gas to NGCC,50.0,5.0,400.0,20.0
7975,Plant 7975,NM,32.2363,-108.5494,291469.85,Gas,NGCC,-845.4867055517192,32.0616835,2.9146985,2.9146985,5.829397,2.9146985,107843.84449999999,Gas to NGCC,50.0,5.0,400.0,20.0
7984,Plant 7984,MI,44.6889,-85.2019,55890.32,Gas,NGCC,-128.5497706437701,6.1479352,0.5589032,0.5589032,1.1178064,0.5589032,20679.4184,Gas to NGCC,50.0,5.0,400.0,20.0
7985,Plant 7985,IA,41.5563,-93.5283,1412629.05,Gas,NGCC,-392.4557626341521,155.3891955,14.126290500000001,14.126290500000001,28.252581000000003,14.126290500000001,522672.7485,Gas to NGCC,50.0,5.0,400.0,20.0
7988,Plant 7988,MS,31.6004,-89.9468,213032.11,Gas,NGCC,-882.7459090066266,23.4335321,2.1303211,2.1303211,4.2606422,2.1303211,78821.8807,Gas to NGCC,50.0,5.0,400.0,20.0
7989,Plant 7989,MS,31.982076,-89.412714,290182.09,Gas,NGCC,-435.80980224668554,31.920029900000003,2.9018209000000006,2.9018209000000006,5.803641800000001,2.9018209000000006,107367.3733,Gas to NGCC,50.0,5.0,400.0,20.0
7991,Plant 7991,WI,43.075071,-89.4251,430853.35,Gas,NGCC,-673.8218217948881,47.393868499999996,4.3085335,4.3085335,8.617067,4.3085335,159415.7395,Gas to NGCC,50.0,5.0,400.0,20.0
8000,Plant 8000,NE,40.330184,-96.808153,596118.49,Gas,NGCC,-879.2942741725275,65.5730339,5.9611849,5.9611849,11.9223698,5.9611849,220563.8413,Gas to NGCC,50.0,5.0,400.0,20.0
