,eis facility id,site name,state,site latitude,site longitude,primary naics code,primary naics description,NH3,NOx,Other,PM2_5,SOx,VOC,geometry
17548,5683211,"LA CITY, DWP HARBOR GENERATING STATION",CA,33.7691,-118.2662,221112,Fossil Fuel Electric Power Generation,1.8799317211598001,10.57051659048,57615.416244817534,1.9927630936587177,0.2951414731884361,0.86609108564748,POINT (-118.2662 33.7691)
17553,5684111,"DYNEGY MOSS LANDING, LLC",CA,36.8045,-121.7801,221112,Fossil Fuel Electric Power Generation,113.91006220801901,167.13525859178765,1999704.673941189,6.55010584906832,10.741626067658302,36.5012658513489,POINT (-121.7801 36.8045)
17628,5704811,TURLOCK IRRIGATION DISTRICT,CA,37.4899,-120.9046,221121,Electric Bulk Power Transmission and Control,0.0,0.325406440490208,1.3959237417764403,0.2775135683797618,0.046200501786825374,0.175740462862118,POINT (-120.9046 37.4899)
17632,5705211,MANDALAY GENERATING STATION,CA,34.2072,-119.2511,221112,Fossil Fuel Electric Power Generation,0.0,13.13807801523448,1.6134398939977879,2.054700122282752,0.06978461586817244,0.928629589350386,POINT (-119.2511 34.2072)
17635,5705711,PACIFIC-ULTRAPOWER CHINESE STA,CA,37.876638,-120.479093,221112,Fossil Fuel Electric Power Generation,5.0258034596000005,159.57379576600002,101.81475644308026,106.62147329454545,22.627273940502,0.24493987980000004,POINT (-120.479093 37.876638)
17926,5782811,"BURBANK CITY, BURBANK WATER & POWER",CA,34.1784,-118.3149,221112,Fossil Fuel Electric Power Generation,0.47172245702890003,1.62764999525898,430206.8124649205,0.25382375938907714,0.02873011861384442,0.060207673950424,POINT (-118.3149 34.1784)
17935,5784411,SO CAL EDISON CO - Pebbly Beach,CA,33.3338,-118.3106,221112,Fossil Fuel Electric Power Generation,0.8500321013800001,40.53334294694978,20.888030091833503,7.6871464141006545,0.23670113788199848,0.41144217201188643,POINT (-118.3106 33.3338)
18061,5813211,"COSO OPERATING COMPANY, LLC",CA,36.033075,-117.798601,221116,Geothermal Electric Power Generation,0.4823060461514835,5.972858968923,105.05899242101103,29.53064225136385,0.26439855496501546,0.7328782640564001,POINT (-117.798601 36.033075)
18064,5813711,KERN FRONT LIMITED,CA,35.5157,-119.04,221112,Fossil Fuel Electric Power Generation,0.49176126075076,1.2006729740349962,8677.096520559075,0.2765351194159246,0.0199442024971728,0.17830171753856,POINT (-119.04 35.5157)
18377,5905811,"AES HUNTINGTON BEACH, LLC",CA,33.6446,-117.9782,221112,Fossil Fuel Electric Power Generation,37.50210181580511,51.02294011011736,1500166.4170933824,56.48653661686564,6.368220760755048,19.542024005846038,POINT (-117.9782 33.6446)
20760,6514911,RIO BRAVO FRESNO,CA,36.6876,-119.7268,221112,Fossil Fuel Electric Power Generation,0.97919761396156,0.013517052626,0.05639563975424621,0.02348106470693328,0.0010277019638399653,0.0031760537747400003,POINT (-119.7268 36.6876)
20765,6515911,IMPERIAL IRRIGATION DISTRICT ECGS,CA,32.8022,-115.54,221112,Fossil Fuel Electric Power Generation,9.0164864512415,78.79625214692001,452945.97413356364,3.118352516148485,2.4326235006618164,2.64902616081411,POINT (-115.54 32.8022)
20821,6530211,"GENON DELTA, LLC",CA,38.0184,-121.761,221112,Fossil Fuel Electric Power Generation,0.0,0.094180563123262,0.0338446827490484,0.01860507706557206,5.3552203823888e-05,0.006823300981727769,POINT (-121.761 38.0184)
20823,6530411,"ORMAT NEVADA, INC",CA,32.714705,-115.518125,221112,Fossil Fuel Electric Power Generation,0.0,0.0,0.23371690673599999,0.0,0.0,0.0,POINT (-115.518125 32.714705)
20983,6577111,NCPA PLANT 2,CA,38.74936,-122.7151,221116,Geothermal Electric Power Generation,1231.775439972,0.0,0.34850077544544,0.0,0.0,0.0,POINT (-122.7151 38.74936)
22822,7110911,"DTE STOCKTON, LLC",CA,37.943753,-121.33036,221118,Other Electric Power Generation,6.29682679984413,93.05022182343889,69.31210167358616,18.200782544048664,0.7556902202803754,0.9969352478824199,POINT (-121.33036 37.943753)
22823,7111111,APPLIED ENERGY LLC NORTH ISLAND,CA,32.70516,-117.189665,221112,Fossil Fuel Electric Power Generation,0.0,7.4752022576,31.82337049714689,32.15085455282151,2.117220279135907,1.521970743086278,POINT (-117.189665 32.70516)
22881,7123711,PG&E DIABLO CANYON NUCLEAR POWER PLANT,CA,35.21039,-120.85479,221122,Electric Power Distribution,0.0,8.891458159656226,2.9288156358918025,0.7738425981142925,0.1649116133549947,0.2993301428825065,POINT (-120.85479 35.21039)
25701,7845311,Ekc Technology,CA,37.65441,-122.13684,221112,Fossil Fuel Electric Power Generation,0.0,0.0,0.13470321624,0.0,0.0,0.0,POINT (-122.13684 37.65441)
25818,7877111,"CALPINE KING CITY COGEN, LLC",CA,36.2257,-121.1279,221112,Fossil Fuel Electric Power Generation,1.244235214142767,10.128477417724543,46763.138796196974,2.252858196854104,0.22336087391095347,0.3929910613334121,POINT (-121.1279 36.2257)
33879,9847211,SUTTER VALLEY MEDICAL FOUNDATION,CA,38.233322,-122.100004,221112,Fossil Fuel Electric Power Generation,0.0,0.011073768253147601,0.002731858398375237,0.0004075241572394731,5.57090446150854e-06,0.000700361224954314,POINT (-122.100004 38.233322)
33899,9850211,Wolfskill Energy Center,CA,38.2281,-122.0749,221112,Fossil Fuel Electric Power Generation,0.0,1.0069750614000001,1.902310896048308,1.211818827187584,0.07886075298193401,0.0722677153092048,POINT (-122.0749 38.2281)
33900,9850311,GOOSE HAVEN ENERGY CENTER,CA,38.227072,-121.843708,221112,Fossil Fuel Electric Power Generation,0.326910099196758,1.3159902802625827,1.0865879430830652,0.95593497328023,0.08190959488774888,0.022288982845868048,POINT (-121.843708 38.227072)
33944,9856211,MACERICH VINTAGE FAIRE MALL LP,CA,37.688021,-121.049951,221118,Other Electric Power Generation,0.0,0.004318199362400001,0.004040183373475343,0.0038598253667850185,1.2484912259912401e-05,0.00031025718108000004,POINT (-121.049951 37.688021)
