,eis facility id,site name,state,site latitude,site longitude,primary naics code,CO2,NH3,NOx,Other,PM2_5,SOx,VOC,geometry,height,diam,temp,velocity
105,1218011,MODESTO IRRIGATION DISTRICT-woodland,CA,37.65258,-121.01975,221122,173770.62980626457,8.043593962185328,9.4519441982889,31.502239120402763,15.921613989955691,1.4330449173967112,1.17809096861302,POINT (-121.01975 37.65258),50.0,5.0,400.0,20.0
106,1218311,Almond Power Plant,CA,37.5745,-120.9851,221112,228227.7391471009,11.60406898961541,18.617335952754,18.231709733297702,12.266460742166414,1.6037588348499345,3.0946101760848124,POINT (-120.9851 37.5745),50.0,5.0,400.0,20.0
107,1371811,SUTTER ENERGY CENTER,CA,39.053158,-121.695895,221112,733551.6258235287,38.6331924366157,51.904574899100005,17.171207069406172,0.0,3.70312810868,0.0,POINT (-121.695895 39.053158),50.0,5.0,400.0,20.0
108,1391311,"CALPEAK POWER - VACA DIXON, LLC",CA,38.39895,-121.924,221112,0.0,0.5551018064823,1.25372931068,1.8714313314,1.28139481651104,0.113473116677998,0.018143694800000002,POINT (-121.924 38.39895),50.0,5.0,400.0,20.0
109,1405711,NORTHERN CALIFORNIA POWER,CA,38.088,-121.3871,221122,13385.702296002406,14.986642161139152,35.94924828156662,54.7208710846016,23.75501247167693,4.369871074498223,1.9781467162587902,POINT (-121.3871 38.088),50.0,5.0,400.0,20.0
110,1549311,REDDING POWER PLANT,CA,40.50896,-122.42423,221112,170843.1293041207,0.0,4.85071680478,11.6579690331147,6.7265379221973784,1.107617519569977,1.1956694873200002,POINT (-122.42423 40.50896),50.0,5.0,400.0,20.0
111,1562111,Lambie Energy Center,CA,38.2216,-121.8683,221112,0.0,0.329567651533351,1.1643185253390154,1.0961339962001841,0.9635340004533937,0.07769335557772805,0.022672786128849168,POINT (-121.8683 38.2216),50.0,5.0,400.0,20.0
118,2096011,SALINAS RIVER COGENERATION,CA,35.9516,-120.8679,221112,206203.1353692981,0.0,24.20096730898,33.964999352697355,12.16389223907704,1.54163527413588,1.7780820904,POINT (-120.8679 35.9516),50.0,5.0,400.0,20.0
164,3371111,CABRILLO POWER II LLC MIRAMAR GT,CA,32.87591,-117.16542,221112,11267.301932640647,0.0,2.0030639059200004,0.23100003962262383,0.0,0.05715263862,0.0,POINT (-117.16542 32.87591),50.0,5.0,400.0,20.0
198,3943511,ORMOND BEACH GENERATING STATION,CA,34.1292,-119.1689,221112,280037.6480338722,3.2443284982724,16.748477845625942,167.16514937044926,18.47468748756667,2.1926375117689325,4.518106734134404,POINT (-119.1689 34.1292),50.0,5.0,400.0,20.0
215,4082511,CARSON COGENERATION COMPANY,CA,33.8759,-118.2496,221112,0.0,0.0,4.0324361693,0.0,0.0,0.03991612856,0.0,POINT (-118.2496 33.8759),50.0,5.0,400.0,20.0
216,4083011,"LONG BEACH GENERATION, LLC",CA,33.7641,-118.2248,221112,13940.202391113857,2.2982981077056004,2.8848474732000002,8.141235386499783,3.9484892760014088,0.232217611724714,0.5304127737832,POINT (-118.2248 33.7641),50.0,5.0,400.0,20.0
217,4083111,"AES ALAMITOS, LLC",CA,33.7688,-118.1009,221112,1510858.2591521998,53.2760205016424,72.8325648157184,918.9962806746543,98.28183692524973,10.654753647067883,41.39440514470954,POINT (-118.1009 33.7688),50.0,5.0,400.0,20.0
218,4083411,"AES REDONDO BEACH, LLC",CA,33.8504,-118.395,221112,192432.0330071894,14.6304722088679,15.690696383670156,787.3752077352787,5.962295703032554,1.2241474500211678,10.848677938332695,POINT (-118.395 33.8504),50.0,5.0,400.0,20.0
219,4084611,EL SEGUNDO ENERGY CENTER LLC,CA,33.909999,-118.425104,221118,97135.71666134763,14.166234025944002,4.4179896838,15.961838630119901,5.922724846690636,0.7334266300161879,1.0785882247756002,POINT (-118.425104 33.909999),50.0,5.0,400.0,20.0
284,4919511,CARSON COGENERATION PROJECT,CA,38.44574,-121.46261,221112,121677.82087096838,8.721370605313005,8.30383568533288,86.42052469094145,1.4454856275436478,0.6731639942238599,2.012277917333421,POINT (-121.46261 38.44574),50.0,5.0,400.0,20.0
285,4919611,SACRAMENTO POWER AUTHORITY,CA,38.51093,-121.47339,221112,281605.8483028601,2.4287091935534355,23.23390837614,19.89594683800274,15.231407218275091,1.9937528883351465,1.5215715300911479,POINT (-121.47339 38.51093),50.0,5.0,400.0,20.0
286,4919711,SACRAMENTO COGENERATION AUTHOY,CA,38.5307,-121.4004,221112,326670.1560325822,13.76049326054721,19.8446661875,51.3308434105602,11.669997618197709,2.1474735671676104,0.8409887667963782,POINT (-121.4004 38.5307),50.0,5.0,400.0,20.0
367,5635111,"GLENDALE CITY, GLENDALE WATER & POWER",CA,34.1556,-118.2782,221112,111120.51906011156,12.987388279627302,35.48090236614,102.9971650985513,50.902268367008375,2.758297609075846,4.94799241008072,POINT (-118.2782 34.1556),50.0,5.0,400.0,20.0
376,5681911,"LA CITY, DWP VALLEY GENERATING STATION",CA,34.2445,-118.3926,221112,457571.5784856425,12.681929325643024,39.37607966990853,61.45368457688485,7.977747870139831,2.6494348734834214,2.3840770515147742,POINT (-118.3926 34.2445),50.0,5.0,400.0,20.0
377,5683211,"LA CITY, DWP HARBOR GENERATING STATION",CA,33.7691,-118.2662,221112,57611.00988181377,1.8799317211598001,10.57051659048,4.406363003762702,1.9927630936587177,0.2951414731884361,0.86609108564748,POINT (-118.2662 33.7691),50.0,5.0,400.0,20.0
378,5684111,"DYNEGY MOSS LANDING, LLC",CA,36.8045,-121.7801,221112,1998178.3427404987,113.91006220801901,167.13525859178765,1526.331200690354,6.55010584906832,10.741626067658302,36.5012658513489,POINT (-121.7801 36.8045),50.0,5.0,400.0,20.0
402,5905811,"AES HUNTINGTON BEACH, LLC",CA,33.6446,-117.9782,221112,1499800.2572554597,37.50210181580511,51.02294011011736,366.1598379227682,56.48653661686564,6.368220760755048,19.542024005846038,POINT (-117.9782 33.6446),50.0,5.0,400.0,20.0
