State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
TX,3609,234792.37,0.685,135727.828,18.028,2283906.459
TX,3611,1974945.55,6.268,1241693.703,1577.713,20893895.651
TX,3612,4711106.43,11.595,2286495.135,1676.513,38469985.753
TX,3628,509348.9,3.724,355526.22,543.285,5962696.761
TX,3631,264713.57,0.832,158443.029,25.61,2594902.815
UT,3648,282438.4,1.146,227025.851,188.685,3820166.613
VA,3775,92830.2,28.938,66784.892,72.603,1123800.885
VA,3785,2360.0,0.581,4427.5,32.746,54579.0
VA,3797,2513175.15,187.948,1419057.711,1115.972,20322837.352
VA,3804,1932251.26,4.106,813389.994,65.819,13686771.582
VA,3809,0.0,0.75,1624.589,0.218,20095.829
WA,3845,4436384.54,1161.237,4960494.358,4107.822,47296886.614
WV,3935,9188631.9,4536.782,9557749.621,4480.692,93206510.141
WV,3943,4822011.86,2372.555,4473491.507,5261.413,43601258.652
WV,3944,12130598.6,15651.218,12224897.766,4762.385,119151094.552
WV,3948,3675810.67,1193.065,3908527.621,1583.922,38158332.651
WV,3954,3803297.56,2056.626,3890891.376,1375.737,37922954.576
WI,3982,159921.97,54.057,292938.164,243.538,2809998.216
WI,3992,14051.03,0.088,12207.132,21.69,205364.962
WI,4040,8655864.38,17.529,3472198.743,285.074,58426488.737
WI,4041,4006748.9,116.091,4333165.883,1346.133,41335385.004
WI,4050,2077014.05,390.705,2288176.066,535.689,21817056.431
WI,4072,109037.28,0.393,77796.239,17.91,1309039.713
WI,4076,189363.55,0.758,149720.984,174.351,2527523.576
WI,4078,3804524.77,528.517,3262529.086,915.244,31148380.878
WY,4158,3942473.7,5500.426,4556985.869,4336.577,43449604.55
WY,4162,3050275.4,1437.369,2902136.777,2567.424,32118847.105
TX,4195,36454.75,0.567,28707.0,47.689,470180.25
TX,4266,54697.0,0.188,37249.125,22.234,626765.325
WI,4271,1378716.86,651.925,1695122.342,617.575,16162517.869
TX,4937,2462503.78,7.542,1493962.852,69.611,25138878.203
TX,4939,1608944.89,3.987,789696.177,234.474,13288085.501
OK,4940,1265950.59,4.562,901908.475,1805.095,15184987.933
NJ,5083,68600.04,0.205,40609.371,7.728,682379.897
AL,6002,16992704.5,777.201,18109178.3,5678.36,172665705.425
WV,6004,5114154.79,6987.502,5007567.61,4560.56,48806715.5
AR,6009,3754794.85,9517.233,4349899.839,3185.997,41492240.32
IL,6017,3375064.06,7421.618,3794291.578,2090.753,36177452.825
KY,6018,2456362.62,1562.314,2727244.902,1410.015,26581377.568
CO,6021,5241766.02,2005.108,5803629.565,5051.286,55335925.289
ND,6030,7778728.24,5546.22,8440756.801,4901.334,77530576.322
MI,6034,6504592.81,16792.964,6359382.314,6586.382,61448139.569
MI,6035,1100721.93,4.049,680404.629,714.123,11469987.934
KY,6041,8375444.57,4084.035,8108282.716,3027.756,79028123.801
FL,6042,6747495.01,19.569,2667977.646,202.983,44886988.827
FL,6043,8639569.81,18.256,3615411.096,480.486,60831397.905
FL,6046,103523.3,1.173,86945.0,53.603,1430473.344
LA,6055,2465494.23,3686.168,2308027.93,1388.784,26583828.215
MN,6058,32474.58,1.136,22308.155,40.63,444129.557
MS,6061,3423953.45,5.616,1112468.211,172.081,18719080.685
KS,6064,870295.98,528.17,985322.115,840.391,9885940.052
MO,6065,5346768.04,374.065,5113904.521,1310.38,48759624.981
KS,6068,6640049.91,304.413,6706627.096,2610.033,63965780.364
KY,6071,8631219.9,2832.426,7648555.397,1890.784,75615072.784
MS,6073,10757448.47,188.32,5572989.916,3049.196,79694542.173
MT,6076,11912528.99,5278.084,11992411.901,8651.761,114374125.743
NE,6077,8167303.75,20876.823,7884347.625,7182.845,75174959.625
IN,6085,1911025.58,464.298,1947620.717,1357.279,19146755.797
MN,6090,7365007.53,2635.876,7859548.082,4861.322,74955832.779
OK,6095,1077992.67,60.343,1159325.838,677.34,11080656.881
NE,6096,6491607.99,10616.325,6479756.451,4234.199,61884642.757
SD,6098,1658505.34,726.938,2094916.223,794.0,19974388.52
